"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Credit Card Fee of 3%","",0,"Service","Single","Other",,"","","","","","","","","","","0","0","QuickBooks Payments Fees","Purchases","","Credit card processing fee (3% of transaction amount)",,0
"Fractional CFO","",0,"Service","Single","Advisory",,"","","","","","","","","","",1500,"0","Strategic Advisory","","","Senior financial leadership without a full-time hire. Designed for businesses ready to move from looking at last month's numbers to actively managing future performance. Includes:
Monthly budgeting and rolling 12-month forecasting
Cash flow management and 13-week cash forecast
KPI dashboard design and monthly review
Business performance analysis with variance commentary
Growth planning and scenario modeling
Strategic financial consulting (capital structure, M&A support, banking relationships)
Monthly business review meeting with your CFO advisor
Direct access between meetings via email and scheduled calls
Billed monthly. Tier pricing based on company size and complexity:
Starter: $1,500/mo (under $1M revenue)
Growth: $2,500/mo ($1M-$5M revenue)
Scale: $4,500/mo ($5M+ revenue or multi-entity)
Minimum 6-month engagement. Onboarding setup fee may apply.",,0
"Other Income","",0,"Service","Single","Other",,"","","","","","","","","","","0","0","Other Service Income","","","Miscellaneous revenue not fitting standard service categories including referral fees, partnership income, interest earned on client accounts, and non-service related income.",,0
"Payroll Service","",0,"Service","Single","Payroll","PAYROLL","","","","","","","","","","",110,"0","Payroll Service","","","Full-service payroll processing powered by ADP RUN. Includes:
Flexible pay schedules (weekly, bi-weekly, semi-monthly, or monthly)
Automated tax calculation, withholding, and remittance
Direct deposit for all employees
Quarterly tax filings (Forms 941, state withholding, state unemployment)
Year-end W-2 and 1099 preparation and distribution
Employee web and mobile portal access with self-service paystubs and tax documents
Secure document vault for HR and payroll records
Optional Wisely by ADP prepaid VISA card for unbanked employees

Includes core processing, filing, and support for up to 10 employees. Direct deposit only; paper checks available as an add-on service. Additional employees charged at $11/mon per employee.",,0
"Payroll Tax Compliance","",0,"Service","Single","Payroll","941","","","","","","","","","","",85,"0","Payroll Service","","","Quarterly payroll tax filing service for businesses that run payroll in-house or through another provider. We handle the compliance side only — you process payroll, we file the returns. Includes:

Quarterly federal payroll tax filing (Form 941)
Quarterly state withholding and state unemployment (SUTA) returns
Annual federal unemployment tax filing (Form 940)
Annual W-2 preparation and distribution to employees
Compliance review of payroll records each quarter

Billed quarterly. Annual filings (Form 940 and W-2s) included at no additional charge in the applicable quarter.
What's not included: payroll processing, direct deposit, paystubs, or employee portal access. For full-service payroll, see our Payroll Service.
What we'll need from you: payroll register, tax liability reports, and employee data each quarter. We'll provide a checklist at onboarding.",,0
"Reimbursable Expenses","",0,"Non-Inventory","Single","Accounting",,"","","","","","","","","","","0","0","Strategic Advisory","","","Out of pocket expenses incured on behalf of client work",,0
"Remote Desktop Access","",0,"Service","Single","Other",,"","","","","","","","","","",200,"0","Billable Expense","","","Out-pocket desktop access (powered by Splashtop) for all remote computers",,0
"Remote QBD Access","",0,"Service","Single","Other",,"","","","","","","","","","",200,"0","Billable Expense","","","client out-pocket CoralTree Tech QBOX",,0
"Sales Tax Compliance","",0,"Service","Single","Tax Work",,"","","","","","","","","","",30,"0","Tax Services - Business","","","Monthly sales tax return prep, filing, and compliance for one entity, single state - includes transaction review, exemption handling, and quarterly reconciliation",,0
"Services","",0,"Service","Single","Advisory",,"","","","","","","","","","","0","0","Uncategorized Income","","","General services",,0
"Setup and Onboarding","",0,"Service","Single","Advisory","SETUP","","","","","","","","","","",850,"0","Setup and Onboarding","","","New client setup and onboarding including EIN application, corporate formation, QuickBooks setup, chart of accounts design, historical cleanup, system implementation, process documentation, staff training.",,0
"Specialized Services","",0,"Service","Single","Other",,"","","","","","","","","","","0","0","Specialized Services","","","Tax resolution services, IRS representation, audit support, business valuation assistance, due diligence support, and other specialized consulting not covered in regular services.",,0
"Tangible Property Tax","",0,"Service","Single","Tax Work","TPP","","","","","","","","","","",20,"0","Tax Services - Business","","","Preparation and electronic filing of Florida Tangible Personal Property Tax Return (Form DR-405) for business assets and equipment",,0
"TPP Florida","",0,"Service","Single",,,"","","","","","","","","","","0","0","Tax Services - Business","Purchases","","Florida Tangible Personal Property Compliance Filing",,0
"Work Comp Tax","",0,"Service","Single","Payroll",,"","","","","","","","","","","0","0","Payroll Service","","","Preparation and filing of workers’ comp tax documents for year-end compliance.",,0
"Year End Accounting Close","",0,"Service","Single","Accounting","YECLOSE","","","","","","","","","","","0","0","Accounting Services","","","Includes review, general ledger entries, and preparation of year-end financial records for tax readiness.",,0
