Type,Name,Tag,Description,Billing Occurrence,Billing Trigger,Pricing Type,Price,Min Price,Max Price,Unit Name,Unit Cap,Discount Type,Discount Amount
Service,Audit Protection Individual,S AUDITI,"<p>Fixed-rate protection against IRS audit for individuals and families. Includes data compilation, document preparation, and correspondence with the IRS on your behalf as needed throughout the audit process. Covers personal tax returns (Form 1040 and related schedules). Active subscription required at the time the audit notice is received.</p>",Monthly,Automatic,Fixed,5,,,,,,
Service,Audit Support Service,S AUDITS,<p>Provide support for audit service</p>,One-Time,Manual,Hourly,125,,,,0,,
Service,Billable Expenses,S BILL,"<p>Out-of-pocket expenses incurred on behalf of clients and passed through at cost (no markup). Common categories include software subscriptions paid on the client&#39;s behalf, government filing fees, postage and shipping, travel expenses, and third-party service costs (e.g., e-filing fees, payroll service fees). Itemized on your invoice with supporting documentation provided upon request.</p>",One-Time,Automatic,Fixed,0,,,,,,
Service,Fractional CFO,S CFO,"<p>Senior financial leadership without a full-time hire. Designed for businesses ready to move from looking at last month&#39;s numbers to actively managing future performance. Includes:</p><ul><li>Monthly budgeting and rolling 12-month forecasting</li><li>Cash flow management and 13-week cash forecast</li><li>KPI dashboard design and monthly review</li><li>Business performance analysis with variance commentary</li><li>Growth planning and scenario modeling</li><li>Strategic financial consulting (capital structure, M&amp;A support, banking relationships)</li><li>Monthly business review meeting with your CFO advisor</li><li>Direct access between meetings via email and scheduled calls</li></ul><p>Billed monthly. Tier pricing based on company size and complexity:</p><ul><li><strong>Starter</strong>: $1,500/mo (under $1M revenue)</li><li><strong>Growth</strong>: $2,500/mo ($1M-$5M revenue)</li><li><strong>Scale</strong>: $4,500/mo ($5M+ revenue or multi-entity)</li></ul><p>Minimum 6-month engagement. Onboarding setup fee may apply.</p>",Monthly,Automatic,Fixed,1500,,,,,,
Service,Other Income,,"<p>Miscellaneous revenue not fitting standard service categories including referral fees, partnership income, interest earned on client accounts, and non-service related income.</p>",One-Time,Manual,Fixed,0,,,,,,
Service,Payroll Service,S PAYROLL,"<p>Full-service payroll processing powered by ADP RUN. Includes:</p><ul><li>Flexible pay schedules (weekly, bi-weekly, semi-monthly, or monthly)</li><li>Automated tax calculation, withholding, and remittance</li><li>Direct deposit for all employees</li><li>Quarterly tax filings (Forms 941, state withholding, state unemployment)</li><li>Year-end W-2 and 1099 preparation and distribution</li><li>Employee web and mobile portal access with self-service paystubs and tax documents</li><li>Secure document vault for HR and payroll records</li><li>Optional Wisely by ADP prepaid VISA card for unbanked employees</li></ul><p><br></p><p>Includes core processing, filing, and support for up to 10 employees. Direct deposit only; paper checks available as an add-on service. Additional employees charged at $11/mon per employee.</p><p><br></p>",Monthly,Automatic,Fixed,110,,,,,,
Service,Payroll Tax Compliance,S PAYTAX,"<p>Quarterly payroll tax filing service for businesses that run payroll in-house or through another provider. We handle the compliance side only — you process payroll, we file the returns. Includes:</p><ul><li>Quarterly federal payroll tax filing (Form 941)</li><li>Quarterly state withholding and state unemployment (SUTA) returns</li><li>Annual federal unemployment tax filing (Form 940)</li><li>Annual W-2 preparation and distribution to employees</li><li>Compliance review of payroll records each quarter</li></ul><p>Billed quarterly. Annual filings (Form 940 and W-2s) included at no additional charge in the applicable quarter.</p><p><strong>What&#39;s not included:</strong> payroll processing, direct deposit, paystubs, or employee portal access. For full-service payroll, see our Payroll Service.</p><p><strong>What we&#39;ll need from you:</strong> payroll register, tax liability reports, and employee data each quarter. We&#39;ll provide a checklist at onboarding.</p>",Quarterly,Automatic,Fixed,85,,,,,,
Service,Remote Desktop Access,S BILL,<p>Out-pocket desktop access (powered by Splashtop) for all remote computers</p>,Yearly,Manual,Fixed,200,,,,,,
Service,Remote QBD Access,S BILL,Billable Expense,Yearly,Manual,Fixed,200,,,,,,
Service,Sales Tax Compliance,S SALESTAX,"<p>Monthly sales tax return prep, filing, and compliance for one entity, single state - includes transaction review, exemption handling, and quarterly reconciliation</p>",Monthly,Automatic,Fixed,30,,,,,,
Service,Services,,<p>General services</p>,One-Time,Automatic,Fixed,0,,,,,,
Service,Setup and Onboarding,S SETUP,"<p>New client setup and onboarding including EIN application, corporate formation, QuickBooks setup, chart of accounts design, historical cleanup, system implementation, process documentation, staff training.</p>",One-Time,Automatic,Fixed,850,,,,,,
Service,Specialized Services,,"<p>Tax resolution services, IRS representation, audit support, business valuation assistance, due diligence support, and other specialized consulting not covered in regular services.</p>",One-Time,Automatic,Fixed,0,,,,,,
Service,Tangible Property Tax,S TPP,<p>Preparation and electronic filing of Florida Tangible Personal Property Tax Return (Form DR-405) for business assets and equipment</p>,Monthly,Automatic,Fixed,20,,,,,,
Service,Work Comp Tax,S WORKERS,<p>Preparation and filing of workers’ comp tax documents for year-end compliance.</p>,One-Time,Automatic,Fixed,0,,,,,,
Service,Year End Accounting Close,S YECLOSE,"<p>Includes review, general ledger entries, and preparation of year-end financial records for tax readiness.</p>",One-Time,Automatic,Fixed,0,,,,,,
